Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,modularity_class
5VIjT67lmvg,Greta Thunberg: We Must Make World Leaders Protect Our Future,,yes,170,1576262129,QuickTake by Bloomberg,UChirEOpgFCupRAk5etXqPaA,News & Politics,47942,502,1804,3.593626,0,1642,11,32,43,0
KYHE50A3UAA,REPLAY - Greta Thunberg manifeste pour le climat à Lausanne,,yes,197,1579267522,AFP,UCckz6n8QccTd6K_xdwKqa0A,News & Politics,3130,78,23,0.294872,0,105,11,12,23,0
be03-0b7dpg,It was rough : Greta Thunberg makes emissions-free trip across Atlantic,,yes,121,1567044300,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,51809,317,288,0.908517,0,385,10,33,43,4
CAYCUCCktac,We ve become too loud for people to handle : Greta Thunberg to Montreal climate strikers,,yes,136,1569620366,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,87840,1285,1539,1.197665,0,1634,10,37,47,1
HONaO0v1IKE,Greta Thunberg named Time Person of the Year 2019,,yes,158,1576069287,CBS This Morning,UC-SJ6nODDmufqBzPBwCvYvQ,News & Politics,47494,590,2297,3.89322,0,2088,10,27,37,0
qtuvP8En0vU,Fatboy Slim samples Greta Thunberg’s speech to the UN during UK concert,,yes,85,1570585891,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,774154,10286,766,0.07447,0,1044,9,27,36,1
NReml41WXcg,FRIDAYS FOR FUTURE: Greta Thunberg hat klare Worte für  die Führer der Welt,,yes,181,1579337177,WELT Nachrichtensender,UCZMsvbAhhRblVGXmEXW8TSA,News & Politics,7836,114,451,3.95614,0,,9,20,29,0
1kD1zubg3cA,Greta Thunberg sings Swedish Death Metal,,yes,74,1569526620,FridaysForFuture,UC-3DidyGMSVXOtAQuxOQn2w,People & Blogs,1448652,38540,1210,0.031396,0,3950,8,21,29,1
rLYXIeiMiiw,Greta Thunberg speaks about climate strike | USA TODAY,,yes,182,1568995426,USA TODAY,UCP6HGa63sBC7-KHtkme-p-g,News & Politics,31797,402,279,0.69403,0,606,8,36,44,3
F7xCSTV0muE,We will make them hear us : Greta Thunberg s speech to New York climate strike,,yes,30,1569070536,Guardian News,UCIRYBXDze5krPDzAEOxFGVA,News & Politics,276346,5113,3059,0.598279,0,3636,7,44,51,3
